                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.02983,                      1,                      1,                 1.6898,              0.0066835,              0.0066835,              0.0066835
                     69,                0.02719,                      1,                      1,                 1.6898,               0.006634,               0.006634,               0.006634
                     70,                0.03077,                0.99979,                      1,                 1.6899,              0.0065845,              0.0065845,              0.0065845
                     71,                0.03434,                0.99958,                      1,                   1.69,               0.006535,               0.006535,               0.006535
                     72,                0.02685,                0.99947,                      1,                   1.69,              0.0064855,              0.0064855,              0.0064855
                     73,                0.03396,                0.99947,                      1,                 1.6901,               0.006436,               0.006436,               0.006436
                     74,                  0.029,                0.99947,                      1,                   1.69,              0.0063865,              0.0063865,              0.0063865
                     75,                0.02893,                0.99968,                      1,                 1.6899,               0.006337,               0.006337,               0.006337
                     76,                0.03225,                0.99979,                      1,                 1.6899,              0.0062875,              0.0062875,              0.0062875
                     77,                0.03534,                0.99989,                      1,                 1.6898,               0.006238,               0.006238,               0.006238
                     78,                0.03066,                0.99989,                      1,                 1.6898,              0.0061885,              0.0061885,              0.0061885
                     79,                0.02538,                0.99989,                      1,                 1.6898,               0.006139,               0.006139,               0.006139
                     80,                0.03105,                0.99989,                      1,                 1.6898,              0.0060895,              0.0060895,              0.0060895
                     81,                0.02882,                0.99989,                      1,                 1.6898,                0.00604,                0.00604,                0.00604
                     82,                0.02847,                0.99989,                      1,                 1.6898,              0.0059905,              0.0059905,              0.0059905
                     83,                 0.0348,                0.99989,                      1,                 1.6897,               0.005941,               0.005941,               0.005941
                     84,                0.02448,                0.99989,                      1,                 1.6897,              0.0058915,              0.0058915,              0.0058915
                     85,                0.02173,                0.99989,                      1,                 1.6897,               0.005842,               0.005842,               0.005842
                     86,                0.02849,                0.99989,                      1,                 1.6897,              0.0057925,              0.0057925,              0.0057925
                     87,                0.02483,                0.99989,                      1,                 1.6897,               0.005743,               0.005743,               0.005743
                     88,                0.03611,                0.99989,                      1,                 1.6897,              0.0056935,              0.0056935,              0.0056935
                     89,                0.03028,                0.99989,                      1,                 1.6897,               0.005644,               0.005644,               0.005644
                     90,                0.02923,                0.99989,                      1,                 1.6897,              0.0055945,              0.0055945,              0.0055945
                     91,                0.02728,                0.99989,                      1,                 1.6897,               0.005545,               0.005545,               0.005545
                     92,                0.02874,                      1,                      1,                 1.6897,              0.0054955,              0.0054955,              0.0054955
                     93,                0.02619,                      1,                      1,                 1.6897,               0.005446,               0.005446,               0.005446
