                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5608,                0.84439,                  0.973,                 1.8827,             0.00023626,             0.00023626,             0.00023626
                      2,                0.45028,                0.96568,                      1,                 1.7614,             0.00047192,             0.00047192,             0.00047192
                      3,                0.23384,                0.98902,                      1,                 1.7239,             0.00070521,             0.00070521,             0.00070521
                      4,                0.16715,                0.99542,                      1,                 1.7049,              0.0007034,              0.0007034,              0.0007034
                      5,                0.13135,                0.99725,                      1,                 1.6977,             0.00069986,             0.00069986,             0.00069986
                      6,                0.11352,                0.99908,                      1,                 1.6938,             0.00069633,             0.00069633,             0.00069633
                      7,                0.10009,                0.99908,                      1,                 1.6954,             0.00069279,             0.00069279,             0.00069279
                      8,                0.09909,                0.99725,                      1,                 1.6979,             0.00068926,             0.00068926,             0.00068926
                      9,                0.07884,                0.99039,                      1,                 1.7021,             0.00068573,             0.00068573,             0.00068573
                     10,                0.06337,                0.99451,                      1,                 1.6968,             0.00068219,             0.00068219,             0.00068219
                     11,                0.06504,                0.99451,                      1,                 1.6979,             0.00067866,             0.00067866,             0.00067866
                     12,                0.06716,                0.99908,                      1,                 1.6918,             0.00067512,             0.00067512,             0.00067512
                     13,                0.04789,                0.99497,                      1,                 1.6958,             0.00067159,             0.00067159,             0.00067159
                     14,                0.05227,                0.99588,                      1,                 1.6944,             0.00066805,             0.00066805,             0.00066805
                     15,                0.04862,                0.99725,                      1,                 1.6931,             0.00066452,             0.00066452,             0.00066452
                     16,                0.03839,                0.99908,                      1,                 1.6918,             0.00066099,             0.00066099,             0.00066099
                     17,                0.05354,                0.99863,                      1,                 1.6956,             0.00065745,             0.00065745,             0.00065745
                     18,                0.05404,                      1,                      1,                   1.69,             0.00065392,             0.00065392,             0.00065392
                     19,                0.03894,                0.99954,                      1,                 1.6912,             0.00065038,             0.00065038,             0.00065038
                     20,                0.03625,                0.99725,                      1,                 1.6938,             0.00064685,             0.00064685,             0.00064685
                     21,                0.03816,                 0.9968,                      1,                 1.6938,             0.00064331,             0.00064331,             0.00064331
                     22,                0.03958,                0.99954,                      1,                 1.6907,             0.00063978,             0.00063978,             0.00063978
                     23,                0.03704,                0.99954,                      1,                  1.691,             0.00063625,             0.00063625,             0.00063625
                     24,                0.03523,                0.99908,                      1,                 1.6915,             0.00063271,             0.00063271,             0.00063271
                     25,                0.03169,                0.99176,                      1,                 1.6978,             0.00062918,             0.00062918,             0.00062918
