                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0394,                0.93458,                0.99626,                 1.7926,              0.0033229,              0.0033229,              0.0033229
                      2,                0.38393,                 0.9399,                0.99921,                 1.7632,              0.0066232,              0.0066232,              0.0066232
                      3,                0.31801,                0.92808,                0.99921,                 1.7738,              0.0098906,              0.0098906,              0.0098906
                      4,                 0.3548,                0.94739,                0.99901,                 1.7518,              0.0098515,              0.0098515,              0.0098515
                      5,                 0.3159,                0.97498,                      1,                  1.725,               0.009802,               0.009802,               0.009802
                      6,                0.25598,                0.97202,                 0.9998,                 1.7254,              0.0097525,              0.0097525,              0.0097525
                      7,                0.20345,                0.98897,                      1,                  1.704,               0.009703,               0.009703,               0.009703
                      8,                0.16613,                0.97655,                      1,                 1.7177,              0.0096535,              0.0096535,              0.0096535
                      9,                0.14225,                0.98778,                      1,                 1.7046,               0.009604,               0.009604,               0.009604
                     10,                0.14296,                0.97852,                      1,                 1.7133,              0.0095545,              0.0095545,              0.0095545
                     11,                0.14252,                0.98739,                      1,                 1.7049,               0.009505,               0.009505,               0.009505
                     12,                0.11568,                0.98956,                      1,                 1.7015,              0.0094555,              0.0094555,              0.0094555
                     13,                0.14425,                0.99232,                 0.9998,                 1.7001,               0.009406,               0.009406,               0.009406
                     14,                0.12848,                0.98502,                      1,                  1.706,              0.0093565,              0.0093565,              0.0093565
                     15,                 0.1125,                0.99172,                      1,                 1.6996,               0.009307,               0.009307,               0.009307
                     16,                0.11288,                0.98995,                      1,                 1.7028,              0.0092575,              0.0092575,              0.0092575
                     17,                0.10744,                0.99409,                      1,                 1.6979,               0.009208,               0.009208,               0.009208
                     18,                0.10242,                0.99606,                      1,                  1.697,              0.0091585,              0.0091585,              0.0091585
                     19,                0.08787,                0.99488,                      1,                 1.6967,               0.009109,               0.009109,               0.009109
                     20,                0.07996,                0.99704,                      1,                  1.694,              0.0090595,              0.0090595,              0.0090595
                     21,                0.06804,                0.99507,                      1,                 1.6962,                0.00901,                0.00901,                0.00901
                     22,                0.08481,                0.99172,                      1,                 1.6998,              0.0089605,              0.0089605,              0.0089605
                     23,                0.08854,                0.99232,                      1,                 1.6979,               0.008911,               0.008911,               0.008911
                     24,                0.07343,                0.99074,                      1,                 1.7001,              0.0088615,              0.0088615,              0.0088615
                     25,                 0.0792,                0.99547,                      1,                 1.6954,               0.008812,               0.008812,               0.008812
                     26,                0.07999,                0.99488,                      1,                 1.6963,              0.0087625,              0.0087625,              0.0087625
                     27,                0.08081,                0.99488,                      1,                 1.6964,               0.008713,               0.008713,               0.008713
                     28,                0.06419,                0.99744,                 0.9998,                 1.6935,              0.0086635,              0.0086635,              0.0086635
                     29,                0.06748,                0.99665,                      1,                 1.6945,               0.008614,               0.008614,               0.008614
                     30,                0.06557,                0.99586,                      1,                 1.6951,              0.0085645,              0.0085645,              0.0085645
                     31,                0.06355,                0.99665,                      1,                  1.694,               0.008515,               0.008515,               0.008515
                     32,                0.05966,                0.99842,                      1,                 1.6932,              0.0084655,              0.0084655,              0.0084655
                     33,                 0.0584,                0.99744,                      1,                 1.6936,               0.008416,               0.008416,               0.008416
                     34,                0.06888,                0.99527,                      1,                  1.695,              0.0083665,              0.0083665,              0.0083665
                     35,                0.06619,                0.99488,                      1,                 1.6964,               0.008317,               0.008317,               0.008317
                     36,                0.05567,                0.99507,                      1,                 1.6948,              0.0082675,              0.0082675,              0.0082675
                     37,                0.04722,                0.99665,                      1,                 1.6932,               0.008218,               0.008218,               0.008218
                     38,                0.06028,                0.99704,                      1,                 1.6944,              0.0081685,              0.0081685,              0.0081685
                     39,                0.05934,                0.99665,                      1,                 1.6937,               0.008119,               0.008119,               0.008119
                     40,                0.05415,                0.99803,                      1,                 1.6924,              0.0080695,              0.0080695,              0.0080695
                     41,                0.05251,                0.99724,                      1,                 1.6929,                0.00802,                0.00802,                0.00802
                     42,                0.05626,                0.99645,                      1,                 1.6948,              0.0079705,              0.0079705,              0.0079705
                     43,                0.05043,                0.99823,                      1,                 1.6923,               0.007921,               0.007921,               0.007921
                     44,                0.04639,                0.99744,                      1,                 1.6928,              0.0078715,              0.0078715,              0.0078715
                     45,                0.04513,                0.99803,                      1,                 1.6925,               0.007822,               0.007822,               0.007822
